River,Reach,River_Sta,Profile,Q_Total,Min_Ch_El,WS_Elev,Crit_WS,EG_Elev,EG_Slope,Vel_Chnl,Flow_Area,Top_Width,Froude_Chl,Freq
Mississippi,LD10ToSylvanUS,615.1,Max WS,144688.4,577.41,614,,614.1,0.000033,2.71,64164.99,7225.6,0.08,3 Year
Mississippi,LD10ToSylvanUS,614.92,Max WS,144699.1,576.86,613.96,,614.06,0.000044,2.88,62245.06,7074.25,0.1,3 Year
Mississippi,LD10ToSylvanUS,614.71,Max WS,144693.3,576.03,613.94,,614.02,0.000036,2.59,76654.52,7687.55,0.09,3 Year
Mississippi,LD10ToSylvanUS,614.23,Max WS,144672.5,555.94,613.88,,613.94,0.000024,2.23,99678.58,8940.78,0.07,3 Year
Mississippi,LD10ToSylvanUS,613.67,Max WS,144651.5,574.71,613.73,,613.84,0.000061,3.15,83289.47,9646.04,0.11,3 Year
Mississippi,LD10ToSylvanUS,613.09,Max WS,144647.3,585.67,613.59,,613.66,0.000059,2.62,94134.15,9982.35,0.1,3 Year
Mississippi,LD10ToSylvanUS,612.56,Max WS,144617.5,579.93,613.48,,613.53,0.000037,2.27,103382.2,10336.62,0.08,3 Year
Mississippi,LD10ToSylvanUS,612,Max WS,144595.7,578.39,613.33,,613.42,0.000064,3.04,84178.7,9304.73,0.11,3 Year
Mississippi,LD10ToSylvanUS,611.22,Max WS,144569.8,582.59,613.14,,613.21,0.000053,2.66,87222.02,8925.54,0.1,3 Year
Mississippi,LD10ToSylvanUS,610.6,Max WS,144558.5,589.02,612.97,,613.03,0.000052,2.46,88852.57,8782.35,0.1,3 Year
Mississippi,LD10ToSylvanUS,610.09,Max WS,144534.8,583.1,612.86,,612.91,0.000041,2.23,92257.77,8069.96,0.09,3 Year
Mississippi,LD10ToSylvanUS,609.49,Max WS,144519.2,584.92,612.7,,612.76,0.000056,2.56,86161.52,8086.08,0.1,3 Year
Mississippi,LD10ToSylvanUS,609.06,Max WS,144506.1,587.74,612.57,,612.63,0.000051,2.27,90090.3,8374.89,0.1,3 Year
Mississippi,LD10ToSylvanUS,608.66,Max WS,144510.7,582.04,612.45,,612.52,0.000061,2.61,72969.9,7617.54,0.11,3 Year
Mississippi,LD10ToSylvanUS,608.05,Max WS,144478.5,578.53,612.25,,612.35,0.000063,2.71,67382.14,7269.54,0.11,3 Year
Mississippi,LD10ToSylvanUS,607.52,Max WS,144948.6,569.37,611.94,,612.16,0.000083,3.78,51082.86,7206.05,0.13,3 Year
Mississippi,LD10ToSylvanUS,606.96,Max WS,144938.9,571.83,611.77,,611.94,0.000062,3.5,61680.55,6869.41,0.11,3 Year
Mississippi,LD10ToSylvanUS,606.16,Max WS,144917.8,574.79,611.59,,611.72,0.000047,3.16,67422.51,5603.47,0.1,3 Year
Mississippi,LD10ToSylvanUS,605.57,Max WS,144911.3,576.89,611.46,,611.56,0.000057,2.94,71054.28,6675.62,0.11,3 Year
Mississippi,LD10ToSylvanUS,604.99,Max WS,144888.5,573.72,611.24,,611.33,0.000088,3.14,63558.8,6250.5,0.13,3 Year
Mississippi,LD10ToSylvanUS,604.45,Max WS,144879.3,572.98,611.03,,611.12,0.000067,2.96,69090.62,6069.51,0.11,3 Year
Mississippi,LD10ToSylvanUS,604,Max WS,144851.5,580.47,610.89,,610.97,0.000054,2.62,71210.91,5751.7,0.1,3 Year
Mississippi,LD10ToSylvanUS,603.54,Max WS,144843.8,577.24,610.72,,610.83,0.00007,3.02,66080.62,6308.94,0.12,3 Year
Mississippi,LD10ToSylvanUS,603.14,Max WS,144839.9,577.04,610.63,,610.72,0.000049,2.7,73832.81,6685.5,0.1,3 Year
Mississippi,LD10ToSylvanUS,602.78,Max WS,144831.6,582.8,610.52,,610.61,0.000064,2.72,76688.3,7762.44,0.11,3 Year
Mississippi,LD10ToSylvanUS,602.39,Max WS,144819.8,585.54,610.41,,610.48,0.000059,2.42,78729.63,8192.14,0.1,3 Year
Mississippi,LD10ToSylvanUS,601.99,Max WS,144813.8,579.27,610.25,,610.35,0.000076,2.75,71359.46,7210.76,0.12,3 Year
Mississippi,LD10ToSylvanUS,601.54,Max WS,144803.3,572.77,610.09,,610.18,0.000061,2.82,72546.95,7047.06,0.11,3 Year
