River,Reach,River_Sta,Profile,Q_Total,Min_Ch_El,WS_Elev,Crit_WS,EG_Elev,EG_Slope,Vel_Chnl,Flow_Area,Top_Width,Froude_Chl,Freq
Mississippi,LD10ToSylvanUS,615.1,Max WS,380215.2,577.41,626.04,,626.15,0.000044,3.58,176737.2,8454.11,0.1,2000 Year
Mississippi,LD10ToSylvanUS,614.92,Max WS,380177.3,576.86,626.01,,626.11,0.000042,3.32,182538.2,8437.8,0.09,2000 Year
Mississippi,LD10ToSylvanUS,614.71,Max WS,380176.4,576.03,625.97,,626.06,0.000041,3.25,190122.3,8692.47,0.09,2000 Year
Mississippi,LD10ToSylvanUS,614.23,Max WS,380187.6,555.94,625.86,,625.98,0.000041,3.36,208645.1,9807.46,0.09,2000 Year
Mississippi,LD10ToSylvanUS,613.67,Max WS,380140.2,574.71,625.7,,625.83,0.000068,4.02,201344.8,10022.4,0.12,2000 Year
Mississippi,LD10ToSylvanUS,613.09,Max WS,380126.1,585.67,625.56,,625.64,0.000053,3.16,216183.1,10300.91,0.1,2000 Year
Mississippi,LD10ToSylvanUS,612.56,Max WS,380073.4,579.93,625.45,,625.52,0.00004,2.94,227639.2,10475.07,0.09,2000 Year
Mississippi,LD10ToSylvanUS,612,Max WS,380086.1,578.39,625.3,,625.41,0.000064,3.76,196354.4,9461.46,0.11,2000 Year
Mississippi,LD10ToSylvanUS,611.22,Max WS,380027.8,582.59,625.11,,625.2,0.000054,3.34,195742,9689.07,0.1,2000 Year
Mississippi,LD10ToSylvanUS,610.6,Max WS,380000.8,589.02,624.92,,625.01,0.000057,3.29,196582.7,9123.59,0.1,2000 Year
Mississippi,LD10ToSylvanUS,610.09,Max WS,379969.1,583.1,624.8,,624.88,0.000046,2.98,190901,8656.72,0.09,2000 Year
Mississippi,LD10ToSylvanUS,609.49,Max WS,379944.9,584.92,624.64,,624.73,0.000051,3.13,185854.6,8468.42,0.1,2000 Year
Mississippi,LD10ToSylvanUS,609.06,Max WS,379965.4,587.74,624.51,,624.6,0.000054,3.1,190729.6,8504.54,0.1,2000 Year
Mississippi,LD10ToSylvanUS,608.66,Max WS,379945.1,582.04,624.38,,624.5,0.000067,3.53,170931.4,8616.02,0.11,2000 Year
Mississippi,LD10ToSylvanUS,608.05,Max WS,379911.4,578.53,624.17,,624.31,0.000068,3.59,162300.4,8248.65,0.11,2000 Year
Mississippi,LD10ToSylvanUS,607.52,Max WS,380343.3,569.37,623.8,,624.13,0.000114,5.3,144776.8,8296.17,0.15,2000 Year
Mississippi,LD10ToSylvanUS,606.96,Max WS,380299.5,571.83,623.53,,623.81,0.000095,5.04,147680.8,8061.52,0.14,2000 Year
Mississippi,LD10ToSylvanUS,606.16,Max WS,380259.5,574.79,623.22,,623.45,0.000076,4.65,140236.3,7146.79,0.13,2000 Year
Mississippi,LD10ToSylvanUS,605.57,Max WS,380246.4,576.89,623.06,,623.21,0.000072,3.99,150960.5,7441.13,0.12,2000 Year
Mississippi,LD10ToSylvanUS,604.99,Max WS,380215,573.72,622.82,,622.97,0.000085,3.94,137793.1,6497.39,0.13,2000 Year
Mississippi,LD10ToSylvanUS,604.45,Max WS,380189.5,572.98,622.59,,622.74,0.000081,4.05,143205.8,6836.26,0.12,2000 Year
Mississippi,LD10ToSylvanUS,604,Max WS,380137.3,580.47,622.41,,622.55,0.000066,3.63,143130.5,6426.67,0.11,2000 Year
Mississippi,LD10ToSylvanUS,603.54,Max WS,380106.4,577.24,622.22,,622.38,0.000084,4.12,141473.7,6906.2,0.13,2000 Year
Mississippi,LD10ToSylvanUS,603.14,Max WS,380084.6,577.04,622.11,,622.26,0.000062,3.68,151006.6,6863.07,0.11,2000 Year
Mississippi,LD10ToSylvanUS,602.78,Max WS,380061.9,582.8,621.98,,622.12,0.000073,3.68,167679.5,8135.86,0.12,2000 Year
Mississippi,LD10ToSylvanUS,602.39,Max WS,380040.3,585.54,621.88,,621.98,0.000058,3.13,173978.1,9807.95,0.1,2000 Year
Mississippi,LD10ToSylvanUS,601.99,Max WS,379987.1,579.27,621.71,,621.85,0.000078,3.64,154909.4,7351.98,0.12,2000 Year
Mississippi,LD10ToSylvanUS,601.54,Max WS,379957.4,572.77,621.54,,621.67,0.000067,3.67,153947.4,7217.11,0.11,2000 Year
Mississippi,LD10ToSylvanUS,600.89,Max WS,379914.7,582.19,621.3,,621.43,0.000066,3.64,151253.5,7288.71,0.11,2000 Year
Mississippi,LD10ToSylvanUS,599.96,Max WS,379873.1,571.07,621.02,,621.15,0.00006,3.78,153486,7279.03,0.11,2000 Year
Mississippi,LD10ToSylvanUS,599.4,Max WS,379834.3,580.12,620.82,,620.95,0.000066,3.5,145799.5,6855.81,0.11,2000 Year
Mississippi,LD10ToSylvanUS,599.07,Max WS,379812.9,586.53,620.75,,620.84,0.000049,2.84,158428,6904.58,0.09,2000 Year
Mississippi,LD10ToSylvanUS,598.58,Max WS,379748,586.27,620.59,,620.7,0.000064,3.24,153749.5,7118.65,0.11,2000 Year
