River_Sta,River,Reach,Gage,date,Event,Run_type,Run_num,Type,value
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 2:00,2001,Calibration,1,Model_Q,56215.42188
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 3:00,2001,Calibration,1,WS_Elev,573.5653687
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 3:00,2001,Calibration,1,Model_Q,56312.72266
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 4:00,2001,Calibration,1,WS_Elev,573.5631104
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 4:00,2001,Calibration,1,Model_Q,56595.38281
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 5:00,2001,Calibration,1,WS_Elev,573.5574951
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 5:00,2001,Calibration,1,Model_Q,56743.48438
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 6:00,2001,Calibration,1,WS_Elev,573.5504761
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 6:00,2001,Calibration,1,Obs_WS,573.2600098
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 6:00,2001,Calibration,1,Model_Q,56808.38672
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 7:00,2001,Calibration,1,WS_Elev,573.5478516
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 7:00,2001,Calibration,1,Model_Q,57038.67578
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 8:00,2001,Calibration,1,WS_Elev,573.5491943
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 8:00,2001,Calibration,1,Model_Q,57183.5625
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 9:00,2001,Calibration,1,WS_Elev,573.5494385
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 9:00,2001,Calibration,1,Model_Q,57228.14844
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 10:00,2001,Calibration,1,WS_Elev,573.5488892
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 10:00,2001,Calibration,1,Model_Q,57251.11328
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 11:00,2001,Calibration,1,WS_Elev,573.5478516
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 11:00,2001,Calibration,1,Model_Q,57263.51953
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 12:00,2001,Calibration,1,WS_Elev,573.5466309
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 12:00,2001,Calibration,1,Obs_WS,573.2800293
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 12:00,2001,Calibration,1,Model_Q,57271.03516
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 13:00,2001,Calibration,1,WS_Elev,573.5292358
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 13:00,2001,Calibration,1,Model_Q,56631.76563
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 14:00,2001,Calibration,1,WS_Elev,573.5033569
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 14:00,2001,Calibration,1,Model_Q,56092.29688
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 15:00,2001,Calibration,1,WS_Elev,573.482666
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 15:00,2001,Calibration,1,Model_Q,55898.3125
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 16:00,2001,Calibration,1,WS_Elev,573.4642944
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 16:00,2001,Calibration,1,Model_Q,55806.84375
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 17:00,2001,Calibration,1,WS_Elev,573.4470215
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 17:00,2001,Calibration,1,Model_Q,55770.60938
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 18:00,2001,Calibration,1,WS_Elev,573.430481
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 18:00,2001,Calibration,1,Obs_WS,573.2399902
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 18:00,2001,Calibration,1,Model_Q,55745.875
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 19:00,2001,Calibration,1,WS_Elev,573.4279785
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 19:00,2001,Calibration,1,Model_Q,55548.12109
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 20:00,2001,Calibration,1,WS_Elev,573.4337769
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 20:00,2001,Calibration,1,Model_Q,55439.92188
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 21:00,2001,Calibration,1,WS_Elev,573.4389648
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 21:00,2001,Calibration,1,Model_Q,55403.89453
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 22:00,2001,Calibration,1,WS_Elev,573.4442139
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 22:00,2001,Calibration,1,Model_Q,55393.23047
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 23:00,2001,Calibration,1,WS_Elev,573.4492188
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/2/2001 23:00,2001,Calibration,1,Model_Q,55393.51953
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 0:00,2001,Calibration,1,WS_Elev,573.4538574
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 0:00,2001,Calibration,1,Obs_WS,573.1799927
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 0:00,2001,Calibration,1,Model_Q,55397.50781
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 1:00,2001,Calibration,1,WS_Elev,573.4614258
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 1:00,2001,Calibration,1,Model_Q,55535.08203
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 2:00,2001,Calibration,1,WS_Elev,573.4699707
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 2:00,2001,Calibration,1,Model_Q,55663.12891
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 3:00,2001,Calibration,1,WS_Elev,573.4769897
