River,Reach,River_Sta,Profile,Q_Total,Min_Ch_El,WS_Elev,Crit_WS,EG_Elev,EG_Slope,Vel_Chnl,Flow_Area,Top_Width,Froude_Chl,Freq
Mississippi,LD10ToSylvanUS,615.1,Max WS,192442.8,577.41,617.36,,617.48,0.000045,3.12,75262.1,7677.43,0.09,9 Year
Mississippi,LD10ToSylvanUS,614.92,Max WS,192417,576.86,617.31,,617.44,0.000055,3.22,76821.25,7913.16,0.1,9 Year 
Mississippi,LD10ToSylvanUS,614.71,Max WS,192422.6,576.03,617.29,,617.38,0.000043,2.82,97195.13,8103.21,0.09,9 Year
Mississippi,LD10ToSylvanUS,614.23,Max WS,192429.7,555.94,617.22,,617.29,0.00003,2.49,129569.5,9033.64,0.08,9 Year
Mississippi,LD10ToSylvanUS,613.67,Max WS,192421.8,574.71,617.06,,617.17,0.000065,3.3,115728.4,9761.37,0.11,9 Year
Mississippi,LD10ToSylvanUS,613.09,Max WS,192375.8,585.67,616.92,,616.98,0.000057,2.66,127656.9,10181.87,0.1,9 Year
Mississippi,LD10ToSylvanUS,612.56,Max WS,192380,579.93,616.81,,616.85,0.000039,2.37,137778.2,10352.21,0.08,9 Year
Mississippi,LD10ToSylvanUS,612,Max WS,192363.7,578.39,616.66,,616.74,0.000065,3.12,115159,9335.06,0.11,9 Year
Mississippi,LD10ToSylvanUS,611.22,Max WS,192342.9,582.59,616.46,,616.53,0.000054,2.75,116904,8945.08,0.1,9 Year
Mississippi,LD10ToSylvanUS,610.6,Max WS,192340.9,589.02,616.28,,616.34,0.000055,2.61,118328.6,8951.35,0.1,9 Year
Mississippi,LD10ToSylvanUS,610.09,Max WS,192317.4,583.1,616.16,,616.22,0.000044,2.36,119085.1,8159.01,0.09,9 Year
Mississippi,LD10ToSylvanUS,609.49,Max WS,192302.9,584.92,616,,616.06,0.000055,2.61,113338.8,8349.16,0.1,9 Year
Mississippi,LD10ToSylvanUS,609.06,Max WS,192298.5,587.74,615.87,,615.93,0.000053,2.42,117759.6,8388.87,0.09,9 Year
Mississippi,LD10ToSylvanUS,608.66,Max WS,192293.4,582.04,615.74,,615.83,0.000066,2.8,98308.5,7800.8,0.1,9 Year
Mississippi,LD10ToSylvanUS,608.05,Max WS,192263.3,578.53,615.54,,615.64,0.000068,2.9,92705.74,7941.03,0.11,9 Year
Mississippi,LD10ToSylvanUS,607.52,Max WS,192734.6,569.37,615.2,,615.44,0.0001,4.18,75126.88,7664.6,0.14,9 Year
Mississippi,LD10ToSylvanUS,606.96,Max WS,192722.1,571.83,614.98,,615.18,0.000077,3.88,84034.39,7044.13,0.12,9 Year
Mississippi,LD10ToSylvanUS,606.16,Max WS,192686.6,574.79,614.74,,614.9,0.000059,3.52,85253.05,5697.75,0.11,9 Year
Mississippi,LD10ToSylvanUS,605.57,Max WS,192690.4,576.89,614.6,,614.7,0.000065,3.16,92024.67,6730.73,0.11,9 Year
Mississippi,LD10ToSylvanUS,604.99,Max WS,192663.3,573.72,614.36,,614.46,0.00009,3.26,83340.61,6377.68,0.12,9 Year
Mississippi,LD10ToSylvanUS,604.45,Max WS,192659.2,572.98,614.14,,614.24,0.000074,3.18,88507.44,6380.86,0.11,9 Year
Mississippi,LD10ToSylvanUS,604,Max WS,192609.2,580.47,613.98,,614.07,0.000061,2.84,90024.4,6166.68,0.1,9 Year
Mississippi,LD10ToSylvanUS,603.54,Max WS,192604.7,577.24,613.79,,613.91,0.000079,3.26,85885.41,6740.26,0.12,9 Year
Mississippi,LD10ToSylvanUS,603.14,Max WS,192603.8,577.04,613.69,,613.79,0.000056,2.92,94313.18,6695.56,0.1,9 Year
Mississippi,LD10ToSylvanUS,602.78,Max WS,192563.5,582.8,613.56,,613.66,0.00007,2.92,100393.5,7796.2,0.11,9 Year
Mississippi,LD10ToSylvanUS,602.39,Max WS,192577.9,585.54,613.45,,613.53,0.000061,2.55,103879.1,9237.92,0.1,9 Year
Mississippi,LD10ToSylvanUS,601.99,Max WS,192529.5,579.27,613.29,,613.39,0.00008,2.93,93344.66,7269.24,0.11,9 Year
Mississippi,LD10ToSylvanUS,601.54,Max WS,192533.7,572.77,613.12,,613.21,0.000066,2.99,93894.73,7063.78,0.11,9 Year
Mississippi,LD10ToSylvanUS,600.89,Max WS,192500.2,582.19,612.88,,612.98,0.000066,2.98,92205.09,6986.07,0.11,9 Year
Mississippi,LD10ToSylvanUS,599.96,Max WS,192457.8,571.07,612.59,,612.69,0.000062,3.22,94215,7100.33,0.11,9 Year
Mississippi,LD10ToSylvanUS,599.4,Max WS,192429.2,580.12,612.39,,612.49,0.000067,2.86,88561.13,6764.67,0.11,9 Year
Mississippi,LD10ToSylvanUS,599.07,Max WS,192411.4,586.53,612.31,,612.37,0.000054,2.35,100554.2,6840.62,0.09,9 Year
Mississippi,LD10ToSylvanUS,598.58,Max WS,192367.3,586.27,612.13,,612.21,0.000073,2.72,93858.13,7021.25,0.11,9 Year
Mississippi,LD10ToSylvanUS,598.07,Max WS,192365.9,586.67,611.94,,612.02,0.000074,2.93,90189.72,6602.2,0.11,9 Year
Mississippi,LD10ToSylvanUS,597.56,Max WS,192334.1,586.62,611.75,,611.83,0.000075,2.79,90989.95,6646.25,0.11,9 Year
Mississippi,LD10ToSylvanUS,597.05,Max WS,192313.4,584.18,611.57,,611.64,0.000069,2.69,94468.3,6979.17,0.11,9 Year
Mississippi,LD10ToSylvanUS,596.51,Max WS,192297.5,588.09,611.36,,611.44,0.000076,2.73,91224.97,7206.19,0.11,9 Year
Mississippi,LD10ToSylvanUS,596.09,Max WS,192281.3,583.63,611.22,,611.28,0.000051,2.34,103673.8,8041.79,0.09,9 Year
Mississippi,LD10ToSylvanUS,595.44,Max WS,192275.2,586.16,611.06,,611.12,0.00005,2.31,107491.6,7453.96,0.09,9 Year
Mississippi,LD10ToSylvanUS,595.05,Max WS,192269,583.17,610.95,,611.01,0.000054,2.31,106569.7,7585.36,0.09,9 Year
Mississippi,LD10ToSylvanUS,594.55,Max WS,192244.5,587.35,610.8,,610.86,0.000061,2.41,101695.5,7567.43,0.1,9 Year
Mississippi,LD10ToSylvanUS,594.12,Max WS,192218,580.88,610.59,,610.68,0.000098,2.78,106874.6,7910.07,0.12,9 Year
Mississippi,LD10ToSylvanUS,593.61,Max WS,192207.5,582.86,610.45,,610.49,0.000045,1.83,114378.4,8157.33,0.08,9 Year
Mississippi,LD10ToSylvanUS,593.08,Max WS,192196.9,578.73,610.31,,610.36,0.000049,1.9,113313.7,8818.94,0.09,9 Year
Mississippi,LD10ToSylvanUS,592.6,Max WS,192690.2,574.16,610.19,,610.23,0.000052,1.83,112541.3,8929.3,0.09,9 Year
Mississippi,LD10ToSylvanUS,592.1,Max WS,192670.3,570.97,610.05,,610.1,0.000053,1.87,112171.4,8939.57,0.09,9 Year
Mississippi,LD10ToSylvanUS,591.68,Max WS,192663.5,576.89,609.93,,609.98,0.000049,1.8,113163.2,8671.53,0.08,9 Year
Mississippi,LD10ToSylvanUS,591.23,Max WS,192650.4,581.62,609.8,,609.85,0.000051,1.85,105079.7,7844.1,0.09,9 Year
Mississippi,LD10ToSylvanUS,590.76,Max WS,192616.8,582.28,609.67,,609.72,0.000053,1.94,100418.8,6963.37,0.09,9 Year
Mississippi,LD10ToSylvanUS,590.06,Max WS,192610.4,584.45,609.49,,609.55,0.000052,1.82,106085.3,7698.95,0.09,9 Year
Mississippi,LD10ToSylvanUS,589.56,Max WS,192602.4,578.78,609.34,,609.39,0.000052,1.8,109545.7,8373.21,0.09,9 Year
