River,Reach,River Sta,Profile,Q Total,Min Ch El,W.S. Elev,Crit W.S.,E.G. Elev,E.G. Slope,Vel Chnl,Flow Area,Top Width,Froude # Chl,Event
Mississippi,DSCoonRapidsDam,866.29,Max WS,49666.66,811.63,820.1,,820.68,0.000716,6.11,8144.21,1418.31,0.39,2019
Mississippi,DSCoonRapidsDam,866.19,Max WS,49678.93,801.5,820.26,,820.35,0.00006,2.53,24303.69,2083.37,0.12,2019
Mississippi,DSCoonRapidsDam,865.94,Max WS,49655.2,802.7,819.79,,820.21,0.000311,5.74,12314.58,1920.81,0.28,2019
Mississippi,DSCoonRapidsDam,865.66,Max WS,49633.36,802.7,819.14,,819.7,0.000468,7.07,12427.59,2564.58,0.35,2019
Mississippi,DSCoonRapidsDam,865.4,Max WS,49623.7,802.7,818.81,,819.12,0.000216,4.65,15557.58,3156.49,0.23,2019
Mississippi,DSCoonRapidsDam,865.16,Max WS,49622.22,802.1,818.27,812.48,818.74,0.000407,5.61,10380.26,1605.61,0.31,2019
Mississippi,DSCoonRapidsDam,865.06   Highway 610 Brid,,Bridge,,,,,,,,,,2019
Mississippi,DSCoonRapidsDam,864.96,Max WS,49615.04,795.8,817.79,,818.27,0.000299,5.65,10847.55,1367.68,0.28,2019
Mississippi,DSCoonRapidsDam,864.83,Max WS,49603.4,795.8,817.67,,818.07,0.000223,5.09,9768.88,735.44,0.24,2019
Mississippi,DSCoonRapidsDam,864.55,Max WS,49602.23,798.9,817.08,,817.65,0.000345,6.07,8226.12,658.1,0.3,2019
Mississippi,DSCoonRapidsDam,864.34,Max WS,49602.72,800.4,817.02,,817.33,0.000213,4.75,13177.44,1160.92,0.23,2019
Mississippi,DSCoonRapidsDam,864.08,Max WS,49600.11,796,816.02,,816.97,0.000618,8.45,8968.2,1181.08,0.4,2019
Mississippi,DSCoonRapidsDam,863.8,Max WS,49596.36,786.7,815.64,,816.16,0.000289,6.1,10853.88,1037.98,0.28,2019
Mississippi,DSCoonRapidsDam,863.59,Max WS,49593.61,800.1,815.19,,815.76,0.00038,6.03,8281.85,821.79,0.31,2019
Mississippi,DSCoonRapidsDam,863.14,Max WS,49592.88,788.5,814.75,,815.09,0.000166,4.71,10568.01,704.14,0.21,2019
Mississippi,DSCoonRapidsDam,862.68,Max WS,49587.98,788.5,814.32,,814.68,0.000175,4.79,10629.94,836.31,0.22,2019
Mississippi,DSCoonRapidsDam,862.3,Max WS,49589.37,796.5,813.83,,814.25,0.000242,5.2,9586.49,742.91,0.25,2019
Mississippi,DSCoonRapidsDam,862.2    RiceCreek       ,,Lat Struct,,,,,,,,,,2019
Mississippi,DSCoonRapidsDam,862.08,Max WS,49587.61,791.3,813.64,,814.01,0.000169,4.9,10112.07,624.19,0.21,2019
Mississippi,DSCoonRapidsDam,861.82,Max WS,49963.2,794.3,813.42,,813.74,0.000215,4.59,10889.87,897.09,0.23,2019
Mississippi,DSCoonRapidsDam,861.52,Max WS,49957.23,794.3,812.99,,813.35,0.000302,4.86,10273.2,998.21,0.27,2019
Mississippi,DSCoonRapidsDam,861.23,Max WS,49954.28,794.7,812.37,,812.88,0.000444,6.16,10956.5,1454.98,0.33,2019
Mississippi,DSCoonRapidsDam,860.98,Max WS,49952.8,795.2,811.86,,812.33,0.000435,6.14,13091.53,1860.75,0.32,2019
Mississippi,DSCoonRapidsDam,860.62,Max WS,49951.52,790.3,811.47,,811.73,0.000126,4.14,12103.78,797.48,0.18,2019
Mississippi,DSCoonRapidsDam,860.47,Max WS,49952.13,789.5,811.23,800.5,811.62,0.000184,4.98,10190.1,731.16,0.22,2019
Mississippi,DSCoonRapidsDam,860.43   I-694 Bridge    ,,Bridge,,,,,,,,,,2019
Mississippi,DSCoonRapidsDam,860.38,Max WS,49951.35,791.7,810.98,,811.43,0.000208,5.4,9360.45,734,0.24,2019
Mississippi,DSCoonRapidsDam,860.23,Max WS,49950.54,791.3,810.93,,811.28,0.000167,4.76,10630.2,738.24,0.21,2019
Mississippi,DSCoonRapidsDam,859.97,Max WS,49950.95,792.1,810.53,,811.01,0.000256,5.59,8943.58,623.93,0.26,2019
Mississippi,DSCoonRapidsDam,859.49,Max WS,49949.98,792.1,810.03,,810.45,0.000213,5.17,9702.61,697.9,0.24,2019
Mississippi,DSCoonRapidsDam,859.03,Max WS,49948.74,793.1,809.63,,809.94,0.000224,4.48,11174.02,996.1,0.23,2019
Mississippi,DSCoonRapidsDam,858.56,Max WS,49947.64,793.1,808.56,,809.1,0.000448,5.88,8492.46,1053.83,0.32,2019
Mississippi,DSCoonRapidsDam,858.14,Max WS,49946.39,793.1,807.26,,807.96,0.000585,6.74,7819.61,893.64,0.37,2019
Mississippi,DSCoonRapidsDam,857.91,Max WS,49943.49,793.1,805.93,,806.9,0.000985,7.9,6335.36,732.36,0.47,2019
Mississippi,DSCoonRapidsDam,857.77,Max WS,49944.39,782.18,806,794.97,806.44,0.000212,5.3,9451.7,637.07,0.24,2019
Mississippi,DSCoonRapidsDam,857.75   37th Ave NE Brid,,Bridge,,,,,,,,,,2019
Mississippi,DSCoonRapidsDam,857.73,Max WS,49945.5,782.18,805.94,,806.37,0.000207,5.26,9536.43,647.21,0.24,2019
Mississippi,DSCoonRapidsDam,857.64,Max WS,49943.59,783.18,805.76,,806.26,0.000264,5.69,8788.56,615.5,0.26,2019
Mississippi,DSCoonRapidsDam,857.59,Max WS,49944.31,783.18,805.67,,806.2,0.000275,5.85,8597.74,615.91,0.27,2019
