River,Reach,River_Sta,Profile,Q_Total,Min_Ch_El,WS_Elev,Crit_WS,EG_Elev,EG_Slope,Vel_Chnl,Flow_Area,Top_Width,Froude_Chl,Freq
Mississippi,LD10ToSylvanUS,615.1,Max WS,411140.7,577.41,627.25,,627.37,0.000045,3.68,187039.6,8529.79,0.1,5000 Year
Mississippi,LD10ToSylvanUS,614.92,Max WS,411127.4,576.86,627.22,,627.33,0.000042,3.4,192797.5,8476.03,0.09,5000 Year
Mississippi,LD10ToSylvanUS,614.71,Max WS,411126.6,576.03,627.18,,627.28,0.000042,3.34,200727.2,8779.62,0.09,5000 Year
Mississippi,LD10ToSylvanUS,614.23,Max WS,411086.1,555.94,627.07,,627.19,0.000042,3.47,220155.7,9994.25,0.09,5000 Year
Mississippi,LD10ToSylvanUS,613.67,Max WS,411045.3,574.71,626.91,,627.04,0.000068,4.12,213468.9,10032.25,0.12,5000 Year
Mississippi,LD10ToSylvanUS,613.09,Max WS,411030.8,585.67,626.77,,626.86,0.000052,3.23,228647.9,10304.88,0.1,5000 Year
Mississippi,LD10ToSylvanUS,612.56,Max WS,411041.7,579.93,626.66,,626.73,0.00004,3.01,240319.5,10481.55,0.09,5000 Year
Mississippi,LD10ToSylvanUS,612,Max WS,411001,578.39,626.51,,626.62,0.000064,3.84,207800.4,9467.65,0.11,5000 Year
Mississippi,LD10ToSylvanUS,611.22,Max WS,410932.3,582.59,626.32,,626.41,0.000054,3.42,207032.7,9739.08,0.1,5000 Year
Mississippi,LD10ToSylvanUS,610.6,Max WS,410921.7,589.02,626.13,,626.22,0.000057,3.38,207619.3,9132.3,0.1,5000 Year
Mississippi,LD10ToSylvanUS,610.09,Max WS,410905.5,583.1,626.01,,626.09,0.000046,3.06,201425.1,8741.47,0.09,5000 Year
Mississippi,LD10ToSylvanUS,609.49,Max WS,410917.8,584.92,625.85,,625.94,0.000051,3.2,196101.4,8489.45,0.1,5000 Year
Mississippi,LD10ToSylvanUS,609.06,Max WS,410866.8,587.74,625.72,,625.81,0.000055,3.19,201007.7,8513.8,0.1,5000 Year
Mississippi,LD10ToSylvanUS,608.66,Max WS,410855.2,582.04,625.58,,625.71,0.000068,3.62,181343.5,8626.34,0.11,5000 Year
Mississippi,LD10ToSylvanUS,608.05,Max WS,410799.9,578.53,625.38,,625.52,0.000068,3.68,172294.9,8300.98,0.11,5000 Year
Mississippi,LD10ToSylvanUS,607.52,Max WS,411234.2,569.37,625,,625.34,0.000115,5.43,154793.4,8310.91,0.15,5000 Year
Mississippi,LD10ToSylvanUS,606.96,Max WS,411174.3,571.83,624.73,,625.02,0.000096,5.18,157545.9,8351.36,0.14,5000 Year
Mississippi,LD10ToSylvanUS,606.16,Max WS,411149.3,574.79,624.42,,624.66,0.000078,4.78,148805.2,7168.84,0.13,5000 Year
Mississippi,LD10ToSylvanUS,605.57,Max WS,411135.7,576.89,624.26,,624.41,0.000072,4.09,159884.8,7474.1,0.12,5000 Year
Mississippi,LD10ToSylvanUS,604.99,Max WS,411040.7,573.72,624.02,,624.17,0.000085,4.03,145574.3,6522.39,0.13,5000 Year
Mississippi,LD10ToSylvanUS,604.45,Max WS,411027.1,572.98,623.78,,623.94,0.000082,4.16,151441.4,6950.33,0.12,5000 Year
Mississippi,LD10ToSylvanUS,604,Max WS,411001.9,580.47,623.61,,623.75,0.000067,3.73,150812.6,6454.56,0.11,5000 Year
Mississippi,LD10ToSylvanUS,603.54,Max WS,410978.6,577.24,623.41,,623.58,0.000085,4.23,149397.8,6928.68,0.13,5000 Year
Mississippi,LD10ToSylvanUS,603.14,Max WS,410918.6,577.04,623.3,,623.46,0.000063,3.77,159203,6888.4,0.11,5000 Year
Mississippi,LD10ToSylvanUS,602.78,Max WS,410905.1,582.8,623.17,,623.32,0.000073,3.78,177384.6,8145.21,0.12,5000 Year
