River,Reach,River_Sta,Profile,Q_Total,Min_Ch_El,WS_Elev,Crit_WS,EG_Elev,EG_Slope,Vel_Chnl,Flow_Area,Top_Width,Froude_Chl,Freq
Mississippi,LD10ToSylvanUS,615.1,Max WS,278525.2,577.41,621.68,,621.86,0.000058,3.84,91136.25,7883.03,0.11,100 Year
Mississippi,LD10ToSylvanUS,614.92,Max WS,278478.2,576.86,621.63,,621.8,0.000064,3.79,97973.93,8187.83,0.11,100 Year
Mississippi,LD10ToSylvanUS,614.71,Max WS,278487.8,576.03,621.62,,621.73,0.000048,3.25,124789.3,8334.61,0.1,100 Year
Mississippi,LD10ToSylvanUS,614.23,Max WS,278486.4,555.94,621.54,,621.63,0.000036,2.94,168605.5,9327.85,0.08,100 Year
Mississippi,LD10ToSylvanUS,613.67,Max WS,278477.9,574.71,621.38,,621.5,0.000067,3.67,158179.3,9947.92,0.11,100 Year
Mississippi,LD10ToSylvanUS,613.09,Max WS,278451.4,585.67,621.24,,621.31,0.000054,2.9,171746.1,10247.5,0.1,100 Year
Mississippi,LD10ToSylvanUS,612.56,Max WS,278433,579.93,621.13,,621.18,0.000039,2.66,182581.7,10375.53,0.09,100 Year
Mississippi,LD10ToSylvanUS,612,Max WS,278381,578.39,620.98,,621.08,0.000064,3.44,155652.6,9389.83,0.11,100 Year
Mississippi,LD10ToSylvanUS,611.22,Max WS,278378.4,582.59,620.79,,620.87,0.000054,3.04,155800.8,9194.49,0.1,100 Year
Mississippi,LD10ToSylvanUS,610.6,Max WS,278353.2,589.02,620.6,,620.68,0.000056,2.95,157295.5,9069.14,0.1,100 Year
Mississippi,LD10ToSylvanUS,610.09,Max WS,278342.7,583.1,620.49,,620.55,0.000045,2.67,154549.5,8253.1,0.09,100 Year
Mississippi,LD10ToSylvanUS,609.49,Max WS,278327.8,584.92,620.33,,620.4,0.000052,2.86,149528.2,8380.35,0.1,100 Year
Mississippi,LD10ToSylvanUS,609.06,Max WS,278296.3,587.74,620.2,,620.28,0.000053,2.76,154168.1,8450.82,0.1,100 Year
Mississippi,LD10ToSylvanUS,608.66,Max WS,278294.8,582.04,620.07,,620.17,0.000067,3.17,134020.2,8520.55,0.11,100 Year
Mississippi,LD10ToSylvanUS,608.05,Max WS,278260.2,578.53,619.86,,619.98,0.000068,3.25,127276.3,8068.12,0.11,100 Year
Mississippi,LD10ToSylvanUS,607.52,Max WS,278700.6,569.37,619.5,,619.79,0.000109,4.79,109368.1,8128.87,0.15,100 Year
Mississippi,LD10ToSylvanUS,606.96,Max WS,278664.3,571.83,619.25,,619.5,0.000087,4.49,114786.1,7469.9,0.13,100 Year
Mississippi,LD10ToSylvanUS,606.16,Max WS,278669.8,574.79,618.97,,619.17,0.000069,4.12,110641,6633.94,0.12,100 Year
Mississippi,LD10ToSylvanUS,605.57,Max WS,278649.3,576.89,618.82,,618.95,0.000069,3.59,120609.6,6830.7,0.11,100 Year
Mississippi,LD10ToSylvanUS,604.99,Max WS,278612,573.72,618.59,,618.71,0.000086,3.6,110407.8,6433.96,0.12,100 Year
Mississippi,LD10ToSylvanUS,604.45,Max WS,278581.3,572.98,618.36,,618.48,0.000078,3.62,115600.1,6453.03,0.12,100 Year
Mississippi,LD10ToSylvanUS,604,Max WS,278572.5,580.47,618.19,,618.3,0.000064,3.24,116170.3,6324.28,0.11,100 Year
Mississippi,LD10ToSylvanUS,603.54,Max WS,278533.2,577.24,618,,618.14,0.000082,3.7,113561.4,6812.14,0.12,100 Year
Mississippi,LD10ToSylvanUS,603.14,Max WS,278526.5,577.04,617.9,,618.02,0.00006,3.3,122489.8,6709.39,0.11,100 Year
Mississippi,LD10ToSylvanUS,602.78,Max WS,278494.2,582.8,617.77,,617.88,0.000071,3.31,133597.3,8039.33,0.11,100 Year
Mississippi,LD10ToSylvanUS,602.39,Max WS,278466.6,585.54,617.66,,617.75,0.000059,2.84,138775.8,9707.44,0.1,100 Year
Mississippi,LD10ToSylvanUS,601.99,Max WS,278451,579.27,617.49,,617.61,0.000078,3.28,123992.5,7314.16,0.12,100 Year
Mississippi,LD10ToSylvanUS,601.54,Max WS,278399.9,572.77,617.33,,617.44,0.000066,3.33,123673.9,7097.9,0.11,100 Year
Mississippi,LD10ToSylvanUS,600.89,Max WS,278393.8,582.19,617.09,,617.2,0.000066,3.31,121613.3,7252.09,0.11,100 Year
Mississippi,LD10ToSylvanUS,599.96,Max WS,278334.1,571.07,616.81,,616.92,0.000061,3.5,123766.1,7205.36,0.11,100 Year
Mississippi,LD10ToSylvanUS,599.4,Max WS,278298.5,580.12,616.61,,616.72,0.000066,3.18,117135.2,6787.72,0.11,100 Year
Mississippi,LD10ToSylvanUS,599.07,Max WS,278284.7,586.53,616.53,,616.61,0.00005,2.58,129457.2,6856.99,0.09,100 Year
Mississippi,LD10ToSylvanUS,598.58,Max WS,278249.2,586.27,616.37,,616.46,0.000067,2.97,123742.2,7085.58,0.11,100 Year
Mississippi,LD10ToSylvanUS,598.07,Max WS,278230,586.67,616.18,,616.28,0.000069,3.18,118264.6,6619.4,0.11,100 Year
Mississippi,LD10ToSylvanUS,597.56,Max WS,278176.4,586.62,616.01,,616.11,0.000068,3.03,119361.2,6667.06,0.11,100 Year
Mississippi,LD10ToSylvanUS,597.05,Max WS,278184.8,584.18,615.85,,615.94,0.000062,2.9,124393.9,7001.36,0.1,100 Year
Mississippi,LD10ToSylvanUS,596.51,Max WS,278131.6,588.09,615.67,,615.76,0.000065,2.89,122742.1,7467,0.11,100 Year
Mississippi,LD10ToSylvanUS,596.09,Max WS,278137.7,583.63,615.54,,615.62,0.000047,2.54,136179.9,8094.75,0.09,100 Year
Mississippi,LD10ToSylvanUS,595.44,Max WS,278117.8,586.16,615.41,,615.47,0.000044,2.48,139984.1,7506.71,0.09,100 Year
Mississippi,LD10ToSylvanUS,595.05,Max WS,278110.2,583.17,615.31,,615.37,0.000048,2.5,139656.4,7606.9,0.09,100 Year
Mississippi,LD10ToSylvanUS,594.55,Max WS,278103.5,587.35,615.17,,615.25,0.000051,2.54,134862,7593.84,0.09,100 Year
Mississippi,LD10ToSylvanUS,594.12,Max WS,278072.1,580.88,614.99,,615.1,0.000086,3.06,141735.2,7942.63,0.12,100 Year
Mississippi,LD10ToSylvanUS,593.61,Max WS,278062.8,582.86,614.87,,614.93,0.000038,1.99,150538.2,8181.83,0.08,100 Year
Mississippi,LD10ToSylvanUS,593.08,Max WS,278051.2,578.73,614.75,,614.82,0.000042,2.09,152552.5,8841.7,0.08,100 Year
Mississippi,LD10ToSylvanUS,592.6,Max WS,278528.9,574.16,614.66,,614.71,0.000041,1.95,152498.5,8951.44,0.08,100 Year
Mississippi,LD10ToSylvanUS,592.1,Max WS,278542.2,570.97,614.54,,614.6,0.000042,2.01,152520.7,9030.94,0.08,100 Year
Mississippi,LD10ToSylvanUS,591.68,Max WS,278525.5,576.89,614.45,,614.51,0.00004,1.95,152521,8767.13,0.08,100 Year
Mississippi,LD10ToSylvanUS,591.23,Max WS,278508.9,581.62,614.34,,614.4,0.000043,2.02,142307.9,8415.74,0.08,100 Year
Mississippi,LD10ToSylvanUS,590.76,Max WS,278503.3,582.28,614.22,,614.29,0.000046,2.14,132422.2,7164.44,0.09,100 Year
Mississippi,LD10ToSylvanUS,590.06,Max WS,278491.8,584.45,614.08,,614.14,0.000042,1.97,141513.9,7750.31,0.08,100 Year
Mississippi,LD10ToSylvanUS,589.56,Max WS,278469.2,578.78,613.96,,614.02,0.000041,1.95,149168.3,8763.11,0.08,100 Year
Mississippi,LD10ToSylvanUS,589.12,Max WS,278462.1,571.62,613.87,,613.93,0.000042,1.97,151916.4,9010.86,0.08,100 Year
